trip_id,stop_id,arrival_time,departure_time,stop_sequence,max_distance
1,93296,04:15:00,04:15:00,1,40
1,83819,04:16:42,04:16:42,2,40
1,92397,04:18:20,04:18:20,3,40
1,91139,04:20:18,04:20:18,4,40
1,81929,04:20:34,04:20:34,5,40
1,88779,04:22:13,04:22:13,6,500
1,87639,04:24:02,04:24:02,7,500
1,61636,04:26:00,04:26:00,8,500
1,76773,04:27:09,04:27:09,9,500
1,10109,04:35:00,04:35:00,10,500
1,10209,04:37:25,04:37:25,11,500
1,10309,04:39:17,04:39:17,12,500
1,10409,04:41:28,04:41:28,13,500
1,10509,04:44:00,04:44:00,14,500
1,10609,04:47:42,04:47:42,15,500
1,10709,04:51:19,04:51:19,16,500
1,10809,04:52:34,04:52:34,17,500
1,20097,04:56:00,04:56:00,18,500
1,20097,05:06:00,05:06:00,19,500
1,10803,05:09:10,05:09:10,20,500
1,10703,05:10:14,05:10:14,21,500
1,10603,05:13:39,05:13:39,22,500
1,10503,05:17:00,05:17:00,23,500
1,10403,05:19:22,05:19:22,24,500
1,10303,05:21:38,05:21:38,25,500
1,10203,05:23:30,05:23:30,26,500
1,10103,05:26:00,05:26:00,27,500
1,76759,05:31:16,05:31:16,28,500
1,61637,05:32:00,05:32:00,29,500
1,86883,05:33:46,05:33:46,30,500
1,87993,05:34:54,05:34:54,31,40
1,89913,05:36:21,05:36:21,32,40
1,89963,05:37:07,05:37:07,33,40
1,91383,05:38:26,05:38:26,34,40
1,92453,05:39:08,05:39:08,35,40
1,93296,05:44:00,05:44:00,36,40
